target	candidate	rank	clap_cosine	melody_acc	CE	CU	PC	PQ
# AVG	-	1		0.616843				
/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/target_music_list_60s/10_country_114_beat_4-4.wav	/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/referecne_music_list_60s/81_dance-breakbeat_170_beat_4-4.wav	1	0.9072301983833313	0.471619	6.7369384765625	7.934486865997314	3.334947347640991	7.674845218658447
/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/target_music_list_60s/4_jazz_120_beat_3-4.wav	/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/referecne_music_list_60s/2_funk_80_beat_4-4.wav	1	0.9313907027244568	0.637719	6.813452243804932	8.019890785217285	3.150313138961792	7.806246280670166
/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/target_music_list_60s/6_rock_102_beat_3-4.wav	/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/referecne_music_list_60s/81_dance-breakbeat_170_beat_4-4.wav	1	0.9597797393798828	0.529812	6.7369384765625	7.934486865997314	3.334947347640991	7.674845218658447
/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/target_music_list_60s/Hedwig’s theme x dizi ｜from Harry Potter ｜竹笛也能施魔法！Bamboo flute_60s.mp3	/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/referecne_music_list_60s/山樂III  繆儀琳、小巨人團演奏  陳志昇指揮.mp3	1	0.7958406805992126	0.609154	6.998021602630615	7.597798347473144	4.320176601409912	7.816760063171387
/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/target_music_list_60s/Mussorgsky： Pictures at an Exhibition (Pletnev, Andsnes)_60s.mp3	/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/referecne_music_list_60s/MIDI-Unprocessed_XP_21_R1_2004_03_ORIG_MID--AUDIO_21_R1_2004_04_Track04_wav.wav	1	0.8373223543167114	0.813898	7.3370842933654785	7.781047821044922	2.7809362411499023	7.553203582763672
/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/target_music_list_60s/Spirited Away OST「Always With Me ⧸ Itsumo Nando Demo」Ru's Piano Cover [Sheet Music]_60s.mp3	/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/referecne_music_list_60s/MIDI-Unprocessed_XP_21_R1_2004_03_ORIG_MID--AUDIO_21_R1_2004_04_Track04_wav.wav	1	0.7797315120697021	0.570541	7.3370842933654785	7.781047821044922	2.7809362411499023	7.553203582763672
/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/target_music_list_60s/【楽譜あり】IRIS OUT⧸米津玄師（ピアノソロ上級）劇場版『チェンソーマン レゼ篇』主題歌【ピアノアレンジ楽譜】.mp3	/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/referecne_music_list_60s/MIDI-Unprocessed_XP_18_R1_2004_04_ORIG_MID--AUDIO_18_R1_2004_07_Track07_wav.wav	1	0.691983699798584	0.607868	7.058386325836182	7.591541290283203	2.960005521774292	7.475417613983154
/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/target_music_list_60s/【菊花台-周杰倫（D調）】附伴奏⧸鋼琴伴奏(竹笛Bamboo flute、Roland Aerophone AE-10) 演奏：蘇俊琪(PSR-S970)audio-technica AT-2035_60s.mp3	/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/referecne_music_list_60s/山樂III  繆儀琳、小巨人團演奏  陳志昇指揮.mp3	1	0.77252197265625	0.737089	6.998021602630615	7.597798347473144	4.320176601409912	7.816760063171387
/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/target_music_list_60s/竹笛｜这世界那么多人_cover 莫文蔚_60s.mp3	/home/ubuntu/music/HW2/dataset/fundwotsai/Deep_MIR_hw2/referecne_music_list_60s/山樂III  繆儀琳、小巨人團演奏  陳志昇指揮.mp3	1	0.7354346513748169	0.573885	6.998021602630615	7.597798347473144	4.320176601409912	7.816760063171387
